,x,x_labels
337,male,1
338,female,0
339,male,1
340,female,0
341,female,0
342,male,1
343,male,1
344,female,0
345,male,1
346,male,1
347,male,1
348,male,1
349,male,1
350,male,1
351,female,0
352,male,1
353,male,1
354,male,1
355,male,1
356,female,0
357,female,0
358,male,1
359,male,1
360,female,0
361,male,1
362,male,1
363,female,0
364,male,1
365,male,1
366,male,1
367,male,1
368,male,1
369,male,1
370,female,0
371,female,0
372,male,1
373,male,1
374,female,0
375,male,1
376,male,1
377,female,0
378,male,1
379,male,1
380,male,1
381,male,1
382,female,0
383,male,1
384,female,0
385,male,1
386,male,1
387,female,0
388,female,0
389,male,1
390,female,0
391,male,1
392,male,1
393,male,1
394,male,1
395,male,1
396,male,1
397,male,1
398,male,1
399,male,1
400,male,1
401,female,0
402,male,1
403,male,1
404,male,1
405,male,1
406,male,1
407,male,1
408,male,1
409,male,1
410,male,1
411,male,1
412,female,0
413,male,1
414,male,1
415,male,1
416,male,1
417,male,1
418,female,0
419,female,0
420,male,1
421,male,1
422,male,1
423,male,1
424,male,1
425,female,0
426,female,0
427,male,1
428,female,0
429,female,0
430,male,1
431,male,1
432,male,1
433,male,1
434,male,1
435,male,1
436,female,0
437,female,0
438,female,0
439,female,0
440,male,1
441,female,0
442,female,0
443,male,1
444,female,0
445,male,1
446,male,1
447,female,0
448,male,1
449,male,1
450,male,1
451,male,1
452,female,0
453,male,1
454,female,0
455,male,1
456,male,1
457,male,1
458,male,1
459,female,0
460,male,1
461,male,1
462,male,1
463,male,1
464,female,0
465,male,1
466,male,1
467,male,1
468,male,1
469,female,0
470,male,1
471,male,1
472,female,0
473,male,1
474,female,0
475,male,1
476,male,1
477,male,1
478,male,1
479,female,0
480,female,0
481,male,1
482,female,0
483,male,1
484,male,1
485,male,1
486,male,1
487,female,0
488,male,1
489,male,1
490,male,1
491,male,1
492,female,0
493,female,0
494,male,1
495,male,1
496,female,0
497,female,0
498,female,0
499,male,1
500,male,1
501,male,1
502,female,0
503,female,0
504,male,1
505,female,0
506,male,1
507,male,1
508,male,1
509,female,0
510,female,0
511,male,1
512,male,1
513,male,1
514,male,1
515,female,0
516,female,0
517,male,1
518,male,1
519,male,1
520,male,1
521,female,0
522,male,1
523,male,1
524,male,1
525,male,1
526,male,1
527,male,1
528,male,1
529,male,1
530,male,1
531,female,0
532,male,1
533,male,1
534,male,1
535,male,1
536,male,1
537,male,1
538,male,1
539,male,1
540,female,0
541,male,1
542,male,1
543,male,1
544,male,1
545,male,1
546,female,0
547,female,0
548,male,1
549,male,1
550,female,0
551,male,1
552,female,0
553,male,1
554,male,1
555,female,0
556,male,1
557,female,0
558,male,1
559,male,1
560,male,1
561,male,1
562,male,1
563,male,1
564,male,1
565,male,1
566,female,0
567,female,0
568,male,1
569,male,1
570,male,1
571,male,1
572,male,1
573,female,0
574,male,1
575,female,0
576,female,0
577,male,1
578,female,0
579,female,0
580,male,1
581,female,0
582,male,1
583,male,1
584,male,1
585,male,1
586,male,1
587,male,1
588,male,1
589,male,1
590,male,1
591,male,1
592,male,1
593,male,1
594,male,1
595,male,1
596,male,1
597,male,1
598,male,1
599,male,1
600,female,0
601,male,1
602,female,0
603,male,1
604,male,1
605,male,1
606,male,1
607,male,1
608,female,0
609,male,1
610,male,1
611,male,1
612,male,1
613,female,0
614,male,1
615,female,0
616,male,1
617,female,0
618,male,1
619,male,1
620,female,0
621,female,0
622,male,1
623,male,1
624,male,1
625,male,1
626,male,1
627,male,1
628,male,1
629,male,1
630,male,1
631,female,0
632,male,1
633,female,0
634,female,0
635,female,0
636,male,1
637,male,1
638,female,0
639,female,0
640,male,1
641,male,1
642,male,1
643,male,1
644,male,1
645,female,0
646,male,1
647,male,1
648,female,0
649,male,1
650,male,1
651,male,1
652,male,1
653,male,1
654,male,1
655,male,1
656,male,1
657,female,0
658,male,1
659,male,1
660,male,1
661,male,1
662,male,1
663,male,1
664,male,1
665,male,1
666,male,1
667,male,1
668,male,1
669,male,1
670,female,0
671,female,0
672,male,1
673,male,1
674,male,1
675,male,1
676,male,1
677,male,1
678,male,1
679,male,1
680,male,1
681,male,1
682,male,1
683,male,1
684,male,1
685,male,1
686,female,0
687,male,1
688,male,1
689,male,1
690,female,0
691,male,1
692,female,0
693,female,0
694,male,1
695,female,0
696,female,0
697,male,1
698,female,0
699,female,0
700,male,1
701,male,1
702,male,1
703,male,1
704,male,1
705,female,0
706,male,1
707,female,0
708,male,1
709,male,1
710,male,1
711,male,1
712,male,1
713,male,1
714,male,1
715,female,0
716,female,0
717,male,1
718,male,1
719,male,1
720,female,0
721,male,1
722,male,1
723,male,1
724,male,1
725,male,1
726,male,1
727,female,0
728,male,1
729,female,0
730,male,1
731,male,1
732,male,1
733,male,1
734,female,0
735,female,0
736,male,1
737,female,0
738,male,1
739,female,0
740,female,0
741,female,0
742,male,1
743,male,1
744,female,0
745,female,0
746,male,1
747,male,1
748,male,1
749,female,0
750,male,1
751,female,0
752,male,1
753,female,0
754,male,1
755,male,1
756,male,1
757,male,1
758,male,1
759,female,0
760,female,0
761,male,1
762,male,1
763,male,1
764,male,1
765,male,1
766,male,1
767,male,1
768,male,1
769,male,1
770,male,1
771,male,1
772,female,0
773,male,1
774,male,1
775,female,0
776,male,1
777,male,1
778,male,1
779,male,1
780,male,1
781,male,1
782,male,1
783,female,0
784,male,1
785,male,1
786,male,1
787,male,1
788,male,1
789,male,1
790,female,0
791,male,1
792,male,1
793,male,1
794,male,1
795,male,1
796,male,1
797,female,0
798,female,0
799,male,1
800,female,0
801,male,1
802,male,1
803,male,1
804,male,1
805,male,1
806,male,1
807,male,1
808,male,1
809,male,1
810,male,1
811,male,1
812,male,1
813,male,1
814,male,1
815,male,1
816,male,1
817,male,1
818,female,0
819,male,1
820,female,0
821,male,1
822,female,0
823,female,0
824,male,1
825,female,0
826,male,1
827,female,0
828,female,0
829,male,1
830,male,1
831,male,1
832,female,0
833,male,1
834,male,1
835,male,1
836,male,1
837,male,1
838,female,0
839,male,1
840,male,1
841,male,1
842,female,0
843,male,1
844,male,1
845,male,1
846,male,1
847,female,0
848,male,1
849,female,0
850,female,0
851,female,0
852,male,1
853,male,1
854,male,1
855,male,1
856,female,0
857,male,1
858,male,1
859,male,1
860,male,1
861,male,1
862,male,1
863,female,0
864,male,1
865,female,0
866,female,0
867,female,0
868,male,1
869,male,1
870,male,1
871,male,1
872,male,1
873,male,1
874,male,1
875,male,1
876,female,0
877,female,0
878,male,1
879,male,1
880,male,1
881,male,1
882,male,1
883,male,1
884,male,1
885,male,1
886,female,0
887,male,1
888,male,1
889,male,1
890,male,1
891,male,1
892,female,0
893,female,0
894,female,0
895,female,0
896,male,1
897,female,0
898,male,1
899,male,1
900,male,1
901,male,1
902,male,1
903,male,1
904,male,1
905,male,1
906,male,1
907,male,1
908,male,1
909,female,0
910,male,1
911,male,1
912,male,1
913,female,0
914,female,0
915,male,1
916,male,1
917,female,0
918,female,0
919,male,1
920,male,1
921,male,1
922,female,0
923,male,1
924,male,1
925,male,1
926,male,1
927,male,1
928,male,1
929,male,1
930,female,0
931,male,1
932,male,1
933,male,1
934,female,0
935,female,0
936,male,1
937,female,0
938,male,1
939,male,1
940,female,0
941,male,1
942,female,0
943,male,1
944,male,1
945,male,1
946,male,1
947,female,0
948,male,1
949,male,1
950,male,1
951,male,1
952,female,0
953,male,1
954,male,1
955,male,1
956,male,1
957,male,1
958,male,1
959,female,0
960,male,1
961,female,0
962,male,1
963,female,0
964,male,1
965,male,1
966,male,1
967,male,1
968,male,1
969,male,1
970,male,1
971,male,1
972,male,1
973,male,1
974,male,1
975,male,1
976,female,0
977,female,0
978,male,1
979,male,1
980,female,0
981,male,1
982,male,1
983,male,1
984,male,1
985,male,1
986,male,1
987,male,1
988,male,1
989,female,0
990,male,1
991,male,1
992,male,1
993,male,1
994,male,1
995,male,1
996,male,1
997,female,0
998,female,0
999,male,1
1000,male,1
1001,male,1
1002,female,0
1003,male,1
1004,female,0
1005,male,1
1006,male,1
1007,male,1
1008,male,1
1009,male,1
1010,male,1
1011,male,1
1012,male,1
1013,male,1
1014,male,1
1015,male,1
1016,male,1
1017,male,1
1018,male,1
1019,male,1
1020,female,0
1021,male,1
1022,male,1
1023,male,1
1024,female,0
1025,male,1
1026,male,1
1027,female,0
1028,female,0
1029,male,1
1030,male,1
1031,female,0
1032,male,1
1033,female,0
1034,male,1
1035,male,1
1036,male,1
1037,male,1
1038,male,1
1039,female,0
1040,female,0
1041,male,1
1042,female,0
1043,male,1
1044,male,1
1045,female,0
1046,male,1
1047,male,1
1048,male,1
1049,male,1
1050,male,1
1051,female,0
1052,male,1
1053,male,1
1054,male,1
1055,male,1
1056,male,1
1057,male,1
1058,male,1
1059,male,1
1060,male,1
1061,male,1
1062,male,1
1063,male,1
1064,male,1
1065,male,1
1066,male,1
1067,female,0
1068,male,1
1069,male,1
1070,female,0
1071,male,1
1072,male,1
1073,female,0
1074,male,1
1075,female,0
1076,female,0
1077,male,1
1078,male,1
1079,female,0
1080,male,1
1081,male,1
1082,male,1
1083,female,0
1084,female,0
1085,male,1
1086,male,1
1087,male,1
1088,male,1
1089,female,0
1090,male,1
1091,male,1
1092,female,0
1093,male,1
1094,male,1
1095,male,1
1096,male,1
1097,male,1
1098,male,1
1099,male,1
1100,male,1
1101,female,0
1102,male,1
1103,female,0
1104,male,1
1105,male,1
1106,female,0
1107,female,0
1108,male,1
1109,female,0
1110,female,0
1111,male,1
1112,male,1
1113,female,0
1114,male,1
1115,female,0
1116,female,0
1117,male,1
1118,male,1
1119,female,0
1120,male,1
1121,male,1
1122,male,1
1123,female,0
1124,male,1
1125,male,1
1126,male,1
1127,male,1
1128,male,1
1129,male,1
1130,male,1
1131,female,0
1132,male,1
1133,male,1
1134,male,1
1135,male,1
1136,male,1
1137,male,1
1138,male,1
1139,male,1
1140,male,1
1141,female,0
1142,male,1
1143,male,1
1144,male,1
1145,male,1
1146,female,0
1147,male,1
1148,male,1
1149,female,0
1150,male,1
1151,male,1
1152,female,0
1153,male,1
1154,male,1
1155,male,1
1156,male,1
1157,male,1
1158,male,1
1159,female,0
1160,male,1
1161,male,1
1162,male,1
1163,male,1
1164,male,1
1165,male,1
1166,female,0
1167,male,1
1168,male,1
1169,male,1
1170,female,0
1171,male,1
1172,female,0
1173,male,1
1174,male,1
1175,male,1
1176,male,1
1177,female,0
1178,male,1
1179,male,1
1180,male,1
1181,female,0
1182,male,1
1183,female,0
1184,male,1
1185,male,1
1186,male,1
1187,male,1
1188,male,1
1189,male,1
1190,male,1
1191,female,0
1192,female,0
1193,male,1
1194,male,1
1195,male,1
1196,male,1
1197,male,1
1198,male,1
1199,male,1
1200,female,0
1201,male,1
1202,male,1
1203,female,0
1204,male,1
1205,male,1
1206,male,1
1207,male,1
1208,female,0
1209,female,0
1210,female,0
1211,male,1
1212,female,0
1213,male,1
1214,male,1
1215,male,1
1216,male,1
1217,male,1
1218,male,1
1219,male,1
1220,female,0
1221,male,1
1222,male,1
1223,male,1
1224,female,0
1225,male,1
1226,male,1
1227,male,1
1228,male,1
1229,male,1
1230,male,1
1231,male,1
1232,male,1
1233,male,1
1234,male,1
1235,male,1
1236,male,1
1237,male,1
1238,female,0
1239,male,1
1240,male,1
1241,female,0
1242,male,1
1243,female,0
1244,female,0
1245,male,1
1246,male,1
1247,male,1
1248,male,1
1249,female,0
1250,female,0
1251,male,1
1252,male,1
1253,male,1
1254,female,0
1255,male,1
1256,male,1
1257,male,1
1258,female,0
1259,male,1
1260,male,1
1261,female,0
1262,male,1
1263,female,0
1264,male,1
1265,male,1
1266,male,1
1267,male,1
1268,male,1
1269,female,0
1270,male,1
1271,male,1
1272,male,1
1273,male,1
1274,male,1
1275,male,1
1276,female,0
1277,male,1
1278,male,1
1279,male,1
1280,male,1
1281,male,1
1282,male,1
1283,female,0
1284,male,1
1285,female,0
1286,female,0
1287,male,1
1288,female,0
1289,male,1
1290,female,0
1291,male,1
1292,female,0
1293,male,1
1294,male,1
1295,male,1
1296,male,1
1297,male,1
1298,female,0
1299,male,1
1300,male,1
1301,male,1
1302,male,1
1303,male,1
1304,male,1
1305,male,1
1306,male,1
1307,male,1
1308,male,1
1309,male,1
1310,male,1
1311,male,1
1312,male,1
1313,female,0
1314,male,1
1315,male,1
1316,male,1
1317,male,1
1318,male,1
1319,male,1
1320,male,1
1321,male,1
1322,male,1
1323,male,1
1324,male,1
1325,male,1
1326,female,0
1327,male,1
1328,female,0
1329,female,0
1330,male,1
1331,male,1
1332,male,1
1333,male,1
1334,male,1
1335,male,1
1336,male,1
1337,female,0
1338,male,1
1339,male,1
1340,male,1
1341,female,0
1342,male,1
1343,male,1
1344,female,0
1345,male,1
1346,male,1
1347,male,1
1348,female,0
1349,male,1
1350,male,1
1351,male,1
1352,male,1
1353,female,0
1354,male,1
1355,female,0
1356,male,1
1357,male,1
1358,male,1
1359,male,1
1360,male,1
1361,male,1
1362,female,0
1363,male,1
1364,male,1
1365,female,0
1366,male,1
1367,female,0
1368,male,1
1369,male,1
1370,male,1
1371,male,1
1372,male,1
1373,female,0
1374,male,1
1375,male,1
1376,male,1
1377,male,1
1378,female,0
1379,male,1
1380,male,1
1381,male,1
1382,male,1
1383,female,0
1384,male,1
1385,male,1
1386,male,1
1387,male,1
1388,female,0
1389,male,1
1390,male,1
1391,male,1
1392,male,1
1393,male,1
1394,male,1
1395,female,0
1396,female,0
1397,female,0
1398,male,1
1399,male,1
1400,male,1
1401,male,1
1402,male,1
1403,male,1
1404,male,1
1405,male,1
1406,male,1
1407,male,1
1408,female,0
1409,female,0
1410,male,1
1411,male,1
1412,male,1
1413,male,1
1414,male,1
1415,male,1
1416,male,1
1417,male,1
1418,female,0
1419,male,1
1420,male,1
1421,male,1
1422,male,1
1423,female,0
1424,male,1
1425,female,0
1426,male,1
1427,female,0
1428,male,1
1429,female,0
1430,male,1
1431,male,1
1432,female,0
1433,male,1
1434,male,1
1435,male,1
1436,female,0
1437,male,1
1438,male,1
1439,male,1
1440,male,1
1441,male,1
1442,male,1
1443,male,1
1444,male,1
1445,male,1
1446,female,0
1447,male,1
1448,female,0
1449,male,1
1450,male,1
1451,male,1
1452,male,1
1453,male,1
1454,male,1
1455,male,1
1456,male,1
1457,male,1
1458,female,0
1459,male,1
1460,male,1
1461,male,1
1462,male,1
1463,male,1
1464,male,1
1465,male,1
1466,male,1
1467,male,1
1468,male,1
1469,male,1
1470,male,1
1471,male,1
1472,male,1
1473,male,1
1474,male,1
1475,female,0
1476,male,1
1477,female,0
1478,male,1
1479,female,0
1480,male,1
1481,male,1
1482,female,0
1483,male,1
1484,male,1
1485,male,1
1486,male,1
1487,female,0
1488,male,1
1489,female,0
1490,male,1
1491,female,0
1492,male,1
1493,female,0
1494,male,1
1495,male,1
1496,male,1
1497,male,1
1498,male,1
1499,female,0
1500,male,1
1501,male,1
1502,male,1
1503,male,1
1504,male,1
1505,male,1
1506,male,1
1507,male,1
1508,male,1
1509,male,1
1510,male,1
1511,male,1
1512,female,0
1513,male,1
1514,male,1
1515,male,1
1516,male,1
1517,male,1
1518,male,1
1519,male,1
1520,male,1
1521,male,1
1522,male,1
1523,male,1
1524,male,1
1525,male,1
1526,male,1
1527,female,0
1528,female,0
1529,male,1
1530,female,0
1531,male,1
1532,male,1
1533,male,1
1534,male,1
1535,male,1
1536,male,1
1537,male,1
1538,female,0
1539,male,1
1540,male,1
1541,male,1
1542,male,1
1543,male,1
1544,male,1
1545,female,0
1546,female,0
1547,female,0
1548,male,1
1549,male,1
1550,male,1
1551,male,1
1552,female,0
1553,male,1
1554,female,0
1555,male,1
1556,male,1
1557,male,1
1558,male,1
1559,female,0
1560,female,0
1561,female,0
1562,male,1
1563,male,1
1564,male,1
1565,male,1
1566,male,1
1567,male,1
1568,male,1
1569,female,0
1570,male,1
1571,male,1
1572,male,1
1573,male,1
1574,male,1
1575,female,0
1576,male,1
1577,male,1
1578,male,1
1579,male,1
1580,female,0
1581,male,1
1582,male,1
1583,male,1
1584,male,1
1585,male,1
1586,male,1
1587,female,0
1588,male,1
1589,female,0
1590,male,1
1591,female,0
1592,male,1
1593,male,1
1594,male,1
1595,male,1
1596,male,1
1597,male,1
1598,male,1
1599,male,1
1600,male,1
1601,male,1
1602,female,0
1603,female,0
1604,male,1
1605,male,1
1606,male,1
1607,female,0
1608,male,1
1609,male,1
1610,male,1
1611,male,1
1612,male,1
1613,male,1
1614,female,0
1615,male,1
1616,male,1
1617,female,0
1618,male,1
1619,male,1
1620,male,1
1621,female,0
1622,male,1
1623,male,1
1624,male,1
1625,male,1
1626,male,1
1627,male,1
1628,male,1
1629,male,1
1630,male,1
1631,female,0
1632,male,1
1633,male,1
1634,male,1
1635,male,1
1636,male,1
1637,female,0
1638,male,1
1639,male,1
1640,female,0
1641,male,1
1642,male,1
1643,female,0
1644,male,1
1645,male,1
1646,female,0
1647,male,1
1648,male,1
1649,male,1
1650,male,1
1651,male,1
1652,male,1
1653,male,1
1654,male,1
1655,male,1
1656,female,0
1657,male,1
1658,male,1
1659,male,1
1660,male,1
1661,male,1
1662,male,1
1663,female,0
1664,female,0
1665,male,1
1666,male,1
1667,male,1
1668,male,1
1669,male,1
1670,male,1
1671,female,0
1672,male,1
1673,female,0
1674,male,1
1675,male,1
1676,female,0
1677,male,1
1678,male,1
1679,male,1
1680,male,1
1681,male,1
1682,male,1
1683,female,0
1684,male,1
1685,male,1
1686,female,0
1687,male,1
1688,male,1
1689,male,1
1690,male,1
1691,male,1
1692,male,1
1693,male,1
1694,female,0
1695,male,1
1696,male,1
1697,male,1
1698,male,1
1699,male,1
1700,male,1
1701,male,1
1702,female,0
1703,male,1
1704,male,1
1705,male,1
1706,female,0
1707,male,1
1708,male,1
1709,female,0
1710,male,1
1711,male,1
1712,female,0
1713,male,1
1714,female,0
1715,male,1
1716,male,1
1717,male,1
1718,male,1
1719,male,1
1720,male,1
1721,male,1
1722,male,1
1723,male,1
1724,male,1
1725,female,0
1726,male,1
1727,female,0
1728,male,1
1729,male,1
1730,female,0
1731,male,1
1732,male,1
1733,male,1
1734,male,1
1735,male,1
1736,male,1
1737,female,0
1738,female,0
1739,female,0
1740,male,1
1741,male,1
1742,male,1
1743,female,0
1744,male,1
1745,male,1
1746,male,1
1747,male,1
1748,male,1
1749,male,1
1750,male,1
1751,male,1
1752,male,1
1753,female,0
1754,male,1
1755,male,1
1756,male,1
1757,male,1
1758,male,1
1759,male,1
1760,male,1
1761,female,0
1762,male,1
1763,male,1
1764,male,1
1765,female,0
1766,female,0
1767,male,1
1768,male,1
1769,male,1
1770,male,1
1771,male,1
1772,male,1
1773,male,1
1774,female,0
1775,male,1
1776,male,1
1777,male,1
1778,male,1
1779,male,1
1780,male,1
1781,male,1
1782,female,0
1783,male,1
1784,male,1
1785,male,1
1786,male,1
1787,male,1
1788,male,1
1789,male,1
1790,female,0
1791,male,1
1792,male,1
1793,male,1
1794,male,1
1795,male,1
1796,female,0
1797,male,1
1798,male,1
1799,male,1
1800,male,1
1801,male,1
1802,female,0
1803,male,1
1804,male,1
1805,male,1
1806,male,1
1807,male,1
1808,male,1
1809,male,1
1810,female,0
1811,female,0
1812,female,0
1813,male,1
1814,male,1
1815,female,0
1816,male,1
1817,male,1
1818,male,1
1819,male,1
1820,female,0
1821,female,0
1822,female,0
1823,female,0
1824,female,0
1825,male,1
1826,male,1
1827,female,0
1828,female,0
1829,female,0
1830,male,1
1831,male,1
1832,male,1
1833,male,1
1834,male,1
1835,male,1
1836,female,0
1837,male,1
1838,male,1
1839,male,1
1840,male,1
1841,male,1
1842,male,1
1843,female,0
1844,male,1
1845,male,1
1846,male,1
1847,male,1
1848,male,1
1849,male,1
1850,male,1
1851,male,1
1852,male,1
1853,male,1
1854,male,1
1855,female,0
1856,female,0
1857,female,0
1858,female,0
1859,male,1
1860,male,1
1861,male,1
1862,male,1
1863,female,0
1864,male,1
1865,male,1
1866,male,1
1867,male,1
1868,male,1
1869,male,1
1870,male,1
1871,female,0
1872,female,0
1873,male,1
1874,male,1
1875,male,1
1876,male,1
1877,female,0
1878,female,0
1879,female,0
1880,male,1
1881,female,0
1882,male,1
1883,female,0
1884,female,0
1885,female,0
1886,male,1
1887,male,1
1888,male,1
1889,male,1
1890,female,0
1891,male,1
1892,male,1
1893,male,1
1894,female,0
1895,female,0
1896,male,1
1897,male,1
1898,male,1
1899,male,1
1900,male,1
1901,male,1
1902,male,1
1903,male,1
1904,male,1
1905,male,1
1906,female,0
1907,male,1
1908,female,0
1909,male,1
1910,female,0
1911,male,1
1912,male,1
1913,female,0
1914,female,0
1915,female,0
1916,male,1
1917,female,0
1918,female,0
1919,male,1
1920,male,1
1921,male,1
1922,male,1
1923,male,1
1924,female,0
1925,male,1
1926,female,0
1927,female,0
1928,male,1
1929,male,1
1930,male,1
1931,male,1
1932,male,1
1933,female,0
1934,male,1
1935,female,0
1936,male,1
1937,female,0
1938,male,1
1939,female,0
1940,female,0
1941,female,0
1942,female,0
1943,female,0
1944,female,0
1945,male,1
1946,female,0
1947,male,1
1948,female,0
1949,male,1
1950,female,0
1951,male,1
1952,male,1
1953,female,0
1954,female,0
1955,male,1
1956,male,1
1957,male,1
1958,male,1
1959,female,0
1960,female,0
1961,female,0
1962,female,0
1963,female,0
1964,female,0
1965,male,1
1966,male,1
1967,female,0
1968,male,1
1969,male,1
1970,female,0
1971,male,1
1972,male,1
1973,female,0
1974,male,1
1975,male,1
1976,male,1
1977,male,1
1978,male,1
1979,male,1
1980,male,1
1981,female,0
1982,male,1
1983,female,0
1984,male,1
1985,female,0
1986,female,0
1987,female,0
1988,male,1
1989,female,0
1990,female,0
1991,male,1
1992,female,0
1993,male,1
1994,female,0
1995,male,1
1996,male,1
1997,male,1
1998,male,1
1999,male,1
2000,female,0
2001,male,1
2002,male,1
2003,female,0
2004,female,0
2005,male,1
2006,female,0
2007,male,1
2008,female,0
2009,female,0
2010,male,1
2011,female,0
2012,male,1
2013,male,1
2014,male,1
2015,female,0
2016,male,1
2017,female,0
2018,male,1
2019,male,1
2020,male,1
2021,male,1
2022,male,1
2023,male,1
2024,male,1
2025,female,0
2026,female,0
2027,male,1
2028,male,1
2029,male,1
2030,male,1
2031,female,0
2032,female,0
2033,male,1
2034,male,1
2035,male,1
2036,male,1
2037,female,0
2038,female,0
2039,male,1
2040,male,1
2041,male,1
2042,male,1
2043,male,1
2044,male,1
2045,male,1
2046,female,0
2047,male,1
2048,male,1
2049,male,1
2050,male,1
2051,male,1
2052,male,1
2053,male,1
2054,male,1
2055,male,1
2056,male,1
2057,male,1
2058,female,0
2059,male,1
2060,male,1
2061,male,1
2062,female,0
2063,male,1
2064,male,1
2065,female,0
2066,male,1
2067,female,0
2068,female,0
2069,female,0
2070,male,1
2071,female,0
2072,female,0
2073,male,1
2074,female,0
2075,male,1
2076,male,1
2077,male,1
2078,female,0
2079,male,1
2080,female,0
2081,male,1
2082,male,1
2083,male,1
2084,male,1
2085,male,1
2086,female,0
2087,male,1
2088,female,0
2089,male,1
2090,male,1
2091,male,1
2092,male,1
2093,male,1
2094,male,1
2095,male,1
2096,female,0
2097,female,0
2098,male,1
2099,male,1
2100,male,1
2101,male,1
2102,female,0
2103,female,0
2104,male,1
2105,male,1
2106,female,0
2107,male,1
2108,male,1
2109,male,1
2110,male,1
2111,male,1
2112,male,1
2113,female,0
2114,female,0
2115,male,1
2116,male,1
2117,male,1
2118,female,0
2119,male,1
2120,male,1
2121,male,1
2122,female,0
2123,male,1
2124,female,0
2125,female,0
2126,male,1
2127,male,1
2128,male,1
2129,female,0
2130,male,1
2131,male,1
2132,male,1
2133,male,1
2134,male,1
2135,female,0
2136,male,1
2137,female,0
2138,male,1
2139,male,1
